names,platforms,release_dates,meta_scores,game_descriptions,user_scores,ageRatings,gameDevs,gameGenres
Bloodborne,PlayStation 4,"March 24, 2015",92,"Bloodborne is an action RPG in which you hunt for answers in the ancient city of Yharnam, now cursed with a strange endemic illness spreading through the streets like a disease. Peril, death and madness infest this dark world, and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry, including guns and saw cleavers, you'll require wits, strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins, chock full of traps, beasts, and rewards, to explore and conquer on your own or with other people.",8.9,M,From Software,"Fantasy, Role-Playing, Action Adventure, General, Action RPG"
Undertale,PlayStation 4,"August 15, 2017",92,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.

((Healthy Dog's Warning: Game contains imagery that may be harmful to players with photosensitive epilepsy or similar condition.))

features:

*    Killing is unnecessary: negotiate out of danger using the unique battle system.
*    Time your attacks for extra damage, then dodge enemy attacks in a style reminiscent of top-down shooters.
*    Original art and soundtrack brimming with personality.
*    Soulful, character-rich story with an emphasis on humor.
*    Created mostly by one person.
*    Become friends with all of the bosses!
*    At least 5 dogs.
*    You can date a skeleton.
*    Hmmm... now there are 6 dogs...?
*    Maybe you won't want to date the skeleton.
*    I thought I found a 7th dog, but it was actually just the 3rd dog.
*    If you play this game, can you count the dogs for me...? I'm not good at it.",6.8,E10+,"tobyfox, 8-4","Role-Playing, Japanese-Style"
The Witcher 3: Wild Hunt,PlayStation 4,"May 19, 2015",92,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Also known as ""The Witcher III: Wild Hunt""",9.2,M,CD Projekt Red Studio,"Action RPG, Role-Playing, Action RPG"
Divinity: Original Sin II - Definitive Edition,PlayStation 4,"August 31, 2018",92,"Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void.",7.8,M,Larian Studios Games,"Role-Playing, Western-Style"
Final Fantasy XIV: Shadowbringers,PlayStation 4,"July 2, 2019",91,"Take part in the next saga of FINAL FANTASY® XIV Online with the next legendary expansion pack—SHADOWBRINGERS.

New jobs: Gunbreaker and Dancer
New races: Viera and Hrothgar
Level cap increased: 70 to 80
New cities: The Crystarium and Eulmore
Journey through expansive new areas, such as the Rak’tika Greatwood, Amh Araeng, Il Mheg and Lakeland.
New trails, including harrowing encounters with Titania and Innocence.
New beast tribes: pixies, Nu Mou, and dwarves
New 8-player raid: Eden
An exciting new series of alliance raids YoRHa:Dark Apocalypse
The Restoration of the Holy See of Ishgard - In the aftermath of the Dragonsong War, Disciples of the Hand and Land work together to rebuild Ishgard",8.4,T,Square Enix,"Role-Playing, Massively Multiplayer"
Shadow of the Colossus,PlayStation 4,"February 6, 2018",91,"Tales speak of an ancient realm where Colossi roam the majestic landscape.  Bound to the land, these creatures hold a key to a mystical power of revival – a power you must obtain to bring a loved one back to life.",7.8,T,"Bluepoint Games, SCE Japan Studio","Action Adventure, General"
The Witcher 3: Wild Hunt - Blood and Wine,PlayStation 4,"May 30, 2016",91,"This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.",9.0,M,CD Projekt Red Studio,"Role-Playing, Action RPG"
Celeste,PlayStation 4,"January 25, 2018",91,"Help Madeline survive her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer from the creators of TowerFall.",7.0,E10+,Matt Makes Games Inc.,"Action, Platformer, 2D"
INSIDE,PlayStation 4,"August 23, 2016",91,"Hunted and alone, a boy finds himself drawn into the center of a dark project. The second game from Limbo developer Playdead.",8.3,M,PLAYDEAD,"Action, Platformer, 2D"
NieR: Automata - Game of the YoRHa Edition,PlayStation 4,"February 26, 2019",91,"Humanity has been driven from the Earth by mechanical beings from another world. In a final effort to take back the planet, the human resistance sends a force of android soldiers to destroy the invaders. Now, a war between machines and androids rages on... A war that could soon unveil a long-forgotten truth of the world.",8.6,M,PlatinumGames,"Role-Playing, Action RPG"
Resident Evil 2,PlayStation 4,"January 25, 2019",91,"In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that transformed its population into deadly zombies. Both Leon and Claire have their own separate playable campaigns, allowing players to see the story from both characters’ perspectives. The fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city. Will they make it out alive?",8.8,M,Capcom R&D Division 1,"Action Adventure, Survival"
flower,PlayStation 4,"November 15, 2013",91,"The pioneers that brought you the PLAYSTATION Network title flOw are back with another concept that challenges traditional gaming conventions. Flower expands the team's tradition of delivering simple gameplay, accessible controls and a medium to explore emotional chords uncommon in video games. In Flower, the surrounding environment, most often pushed to the background in games, is pulled to the forefront and becomes the primary ""character."" The player fades from an external and stressful world in the opening of this fresh and genuine game only for PS3, and journeys through beautifully vivid landscapes, changing the his surroundings and exploring nature along the way.",7.3,E,Bluepoint Games,"General, Miscellaneous, General"
Diablo III: Ultimate Evil Edition,PlayStation 4,"August 19, 2014",90,"PlayStation 4 players can now experience the full adventure of Blizzard’s epic action RPG, Diablo III, and the upcoming expansion, Reaper of Souls all from the comfort of their couch in Diablo III: Ultimate Evil Edition! Take on the role of one of six powerful character class Barbarian, Demon Hunter, Monk, Witch Doctor, Wizard, or the all-new Crusader and embark on a dark journey through Acts I-V to save the world of Sanctuary from ancient and sinister forces. With the new DUALSHOCK 4 wireless controller and a custom-designed console interface, players will be outfitted with touch pad functionality and new social features as they engage in pulse-pounding combat with hordes of monsters and acquire items of incredible power.",7.9,M,Blizzard Entertainment,"Action RPG, Role-Playing, Action RPG"
Overwatch,PlayStation 4,"May 23, 2016",90,"Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers, mercenaries, scientists, adventurers, and oddities against each other in an epic, globe-spanning conflict.",6.4,T,Blizzard Entertainment,"Action, Shooter, First-Person, Tactical"
Shovel Knight,PlayStation 4,"April 21, 2015",90,"Shovel Knight is a sweeping classic action adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. It's a hot mashup of new and old! You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this land with two goals: to defeat the evil Enchantress and quest for his lost beloved. He wields a Shovel Blade: a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a shining example of the code of Shovelry: Slash Mercilessly and Dig Tirelessly!

But, between Shovel Knight and his beloved stands a cadre of villainous knights. These terrible foes, known as The Order of No Quarter, have been dispatched to prevent Shovel Knight from reaching the Enchantress, and will pursue their mission at any cost. If you love games with perfect platforming, beautiful art, infectious music, crazy bosses, humor and levity, and real heart... Shovel Knight is for you!",7.7,E,Yacht Club Games,"Action, Platformer, 2D"
Rayman Legends,PlayStation 4,"February 18, 2014",90,"There are several differences and new features in this PS4 version. In this version the textures of the game are more compressed, so you can see that the game’s graphics are clearer and more detailed than before. You will also see that there is no loading time when you enter or exit a level, which makes the navigation even faster and more enjoyable. Ubisoft has also integrated a new Camera Mode on PS4. By pressing the touchpad of the PS4 joystick, you pause the game and enter this mode, and by moving your fingers on the touchpad, you zoom in and out on the image and drag the image frame; and finally, by pressing the Share button, you can take a photo and share it with everyone. This Camera Mode is a great way to observe in detail all the characters and settings of the game, and a great way of expression to create wacky images with the elements found in the game. On PS4, you can also use the touchpad to scrape the famous Lucky Tickets, then you will really feel like you’re scraping lottery tickets (with the sound of scraping straight from the PS4 joystick). Finally, in this PS4 version, you’ll also find new playable heroes: Assassin Ray (a character inspired by Edward Kenway, the hero of Assassin’s Creed IV: Black Flag), Funky Ray (a delusional character that you can unlock by using Uplay points), and Champion Ray (a character who will be offered to the best players of the community and those who live in this community; this character correspond to the new VIP status, visible in the rankings of online challenges). [Playstation Blog]",8.4,E10+,Ubisoft Montpellier,"Platformer, 2D, Action, Platformer, 2D"
Fez,PlayStation 4,"March 25, 2014",90,Gomez is a 2D man on a voyage of discovery into the mysterious 3rd dimension. Change your perspective and look at the world in a different way.,6.4,E,Polytron Corp.,"Action, Platformer, Platformer, 2D, 2D"
Monster Hunter: World,PlayStation 4,"January 26, 2018",90,"In Monster Hunter: World you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles. This new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain, vegetation and wildlife to your advantage in battle or become hindered by the hazards they present. As a hunter, you must use your cunning and expertise to track and maneuver your targets throughout the intense, evolving battles. [Capcom]",7.7,T,Capcom,"Role-Playing, Action RPG"
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PlayStation 4,"October 20, 2015",90,"In the final episode of the season, all hell is breaking loose. Jack is now in control of Helios' systems, and he is ready to reclaim his rightful place as king of Hyperion - with or without you. It's a mad dash to get out of the chaotic space station alive, as everyone scrambles to grab the final Gortys piece and high tail it back to Pandora. Can you guide our motley crew through perilous corporate dangers in hopes of getting some copious alien riches? Loyalties will be tested, secrets will be revealed, and explosions will be in large supply in this final chapter of Tales From The Borderlands.",7.9,M,Telltale Games,"Adventure, General"
The Witcher 3: Wild Hunt - Hearts of Stone,PlayStation 4,"October 12, 2015",90,"Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics. [CD Projekt]",8.9,M,CD Projekt Red Studio,"Role-Playing, Action RPG"
Sekiro: Shadows Die Twice,PlayStation 4,"March 22, 2019",90,"Your death won’t come easily. Enter the world of late 1500s Sengoku Japan; a brutal, bloody period of constant life-and-death conflict. As tensions rise, a compelling new story unfolds amongst the chaos. Introducing Sekiro: Shadows Die Twice, a dark and twisted new gameplay experience developed by the renowned team at FromSoftware and published by Activision. Directed by Hidetaka Miyazaki, Sekiro: Shadows Die Twice is a third-person, action-adventure game with RPG elements. The single-player game puts players in the protagonist role of a hard-hearted warrior whose mission is to rescue his master, a young lord, and exact revenge on his arch nemesis. As “Sekiro,” or the “one-armed wolf,” players discover the many ways to strategically approach combat and engage enemies. [Activision]",8.0,M,From Software,"Action Adventure, General"
Astro Bot: Rescue Mission,PlayStation 4,"October 2, 2018",90,"Astro Bot Rescue Mission is a platformer, developed exclusively for use with PS VR. Take control of Astro the captain Bot and go on an epic VR rescue mission to save your fellow Bots who are dispersed all over space.",8.9,E10+,JapanStudio,"Action Adventure, General"
Monster Hunter: World - Iceborne,PlayStation 4,"September 6, 2019",89,"Monster Hunter World: Iceborne is the highly anticipated massive expansion to Monster Hunter: World, the best-selling Capcom title of all time with more than 12 million units shipped worldwide adding to the series total of more than 53 million units to date. This gargantuan follow-up rivals the gameplay volume from the original release and features a new icy setting, storyline, monsters, gameplay options, and more.

The game's all-new story picks up after Monster Hunter: World and whisks hunters away to the newly discovered chilly locale that, once fully explored, becomes the largest region in World so far. The new locale is home to several new and returning monsters ready to challenge hunters throughout their expeditions and raises the stakes with the added higher difficulty Master Rank. Iceborne continues the skill-based progression and robust crafting system found in World and expands that with several new gameplay features that broaden the player's combat repertoire. All this leads to the ultimate hunter test against the mysterious new flagship monster, Velkhana.",8.4,T,Capcom,"Role-Playing, Action RPG"
Rez Infinite,PlayStation 4,"October 13, 2016",89,"To resolve the world's rising crime rates, a new system called Project-K was created. However, Eden, the core of Project-K, has fallen into a vegetative state. Now it's up to you, a hacker, to travel through a cyberspace filled with firewalls, viruses, and other obstacles, and jump-start the system's artificial intelligence. Scattered throughout the levels are evolution spheres, which let you transform into more powerful humanoid forms. The game features a pounding soundtrack and unique vector worlds.",7.7,E10+,"Q Entertainment, Monstars Inc., Enhance Games","Action, Shooter, Rail"
Titanfall 2,PlayStation 4,"October 28, 2016",89,"In single player, Titanfall 2 delivers a crafted experience that explores the unique bond between man and machine. Playable offline, the single player campaign in Titanfall 2 lets fans step out onto The Frontier as a Militia rifleman with aspirations of becoming an elite Pilot. Stranded behind enemy lines and facing overwhelming odds, players must team up with a veteran Titan to uphold a mission they were never meant to carry out. In multiplayer, Respawn is continuing to evolve their gameplay to provide a more robust experience that delivers expanded depth and variety that includes six new Titans, deeper Pilot abilities, more customization options, and a robust progression system that is sure to satisfy fans. [Electronic Arts]",8.5,M,Respawn Entertainment,"Action, Shooter, First-Person, Arcade"
Dark Souls III,PlayStation 4,"April 12, 2016",89,"Developed by Japanese developer FromSoftware, DARK SOULS III is the latest chapter in the DARK SOULS series with its trademark sword and sorcery combat and rewarding action RPG gameplay. Players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse.",8.8,M,From Software,"Role-Playing, Action RPG"
Tetris Effect,PlayStation 4,"November 9, 2018",89,"From deep beneath the ocean to the furthest reaches of outer space, Tetris Effect’s 30-plus stages are more than just backdrops; together with music, characters, and animations tailor-made for each level and triggered by your actions, they’re all meant to make you feel something — to convey a mood, or even provoke an emotional response. [Enhance, Inc.]",7.6,E,Enhance Games,"Puzzle, Stacking"
Final Fantasy XIV: Stormblood,PlayStation 4,"June 20, 2017",89,"Dive into the next chapter of the Final Fantasy XIV Online with its next expansion pack - Stormblood. Explore vast, new lands, including Ala Mhigo, and challenge new Primal threats across Eorzea as you embark on hundreds of new quests as the Warrior of Light. 

FEATURES

* Level cap increased from 60 -> 70
* New jobs, including red mage
* New exploration with swimming and diving
* New areas to explore
* A new primal  Lakshmi
* New dungeons
* New High-level Raid The Bend of Time  Omega
* New alliance raid Return to Ivalice
* The Forbidden Land of Eureka
* New gear and crafting recipes
* A fourth residential district
* Expanded item inventory and changes to the battle system",8.7,T,Square Enix,"Role-Playing, Massively Multiplayer"
Bastion,PlayStation 4,"April 7, 2015",89,"The goal of the game is to construct a safe haven in the wake of the Calamity, a cataclysmic event that shattered the world into a series of floating islands. As players journey into the wild unknown in search of survivors and supplies, they will confront strange beasts, forge an array of customizable weapons, and gain new powers from specially-brewed spirits. The entire play experience of Bastion is dynamically narrated, gradually revealing a rich backstory as the narrator reacts to the player's actions in real time.",7.7,E10+,Supergiant Games,"Role-Playing, Action RPG"
Dreams,PlayStation 4,"February 14, 2020",89,"Dreams is the space you go to where you go to play and experience the dreams of Media Molecule and its community. It’s also a space in which to create your own dreams, whether they’re games, art, films, music or anything in-between and beyond. [Media Molecule]",8.8,T,Media Molecule,"Miscellaneous, General, Action Adventure, Sandbox"
Apex Legends,PlayStation 4,"February 4, 2019",89,"Conquer with character in Apex Legends, a free-to-play Battle Royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the Frontier. Master an ever-growing roster of diverse legends, deep tactical squad play, and bold new innovations that level-up the Battle Royale experience—all within a rugged world where anything goes. Welcome to the next evolution of Battle Royale.",6.7,T,Respawn Entertainment,"Action, Shooter, First-Person, Tactical"
Dragon Age: Inquisition,PlayStation 4,"November 18, 2014",89,"Choose and spearhead a team of characters into rough battles against a variety of enemies – from earth-shaking High Dragons to demonic forces from the otherworld of the Fade. Go mano y mano in visceral, heroic combat as your followers fight at your six, or switch to tactical view to coordinate lethal offensives using the combined might of your company. View the tangible results of your path through a living world – construct structures, customize outposts, and change the landscape itself as environments are re-shaped in the wake of your Inquisition. Lead a company selected from nine unique, fully-realized characters – each of whom react to your actions and choices differently, forming complex relationships both with you and with each other. Hone your own character from multiple races, customize their appearance, and select their powers and abilities as the game progresses. Extensive customization options allow you to choose everything from the color of your follower’s boots to the features of your Inquisition stronghold. Become an agent of change in a time of uncertainty and upheaval.  Shape the course of empires, bring war or peace to factions in conflict, and drive the ultimate fate of the Inquisition. Will you stop the cataclysmic anarchy gripping the Dragon Age? [Electronic Arts]",7.4,M,BioWare,"General, Role-Playing, General, Action RPG, Western-Style"
Battlefield 1,PlayStation 4,"October 18, 2016",89,"Intuitive destruction and dynamic weather ensure that no battle is ever the same. For even more gameplay possibilities, carve a path through walls and buildings, take down your enemies in creative ways, and leave your mark on the terrain around you through intuitive destruction. Through your actions, the pristine world around you change into a battle-scarred landscape, changing the world forever. With dynamic weather you will need to adapt your tactics to weather changes as the elements play a part in the battle. Playing the same map on a bright day, in heavy fog, or rain will impact what you see and hear, forcing you to adapt your play style on an ever-changing battlefield. Operations introduces a new way to play multiplayer. In Battlefield 1 you play a series of interconnected battles across multiple fronts. Play a sequence of battles where your actions have consequences beyond a single match, as you try to conquer territory or push back your attackers. At those times when you feel all is lost, call in the Behemoths - the largest fully player-controlled vehicles ever seen in Battlefield. Roam the battlefield and rain fire on your enemy to break their defenses. All-out war never felt so epic. Take control of the Armored Train, Air Ship, or the Battleship to dominate the battlefield across land, air, and sea. [Electronic Arts]",7.9,M,EA DICE,"Action, General, Shooter, First-Person, Tactical"
Horizon Zero Dawn,PlayStation 4,"February 28, 2017",89,"Horizon Zero Dawn is a PS4-exclusive action role playing game developed by Guerrilla Games, creators of the Killzone franchise. As Horizon Zero Dawn’s main protagonist Aloy, a skilled hunter, explore a vibrant and lush world inhabited by mysterious mechanized creatures. Embark on an emotional journey to unravel mysteries of tribal societies, ancient artifacts and advanced technologies that will determine the fate of this planet, and of life itself.",8.4,T,Guerrilla,"Role-Playing, Action RPG"
Minecraft: PlayStation 4 Edition,PlayStation 4,"September 3, 2014",89,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",6.6,E10+,"4J Studios, Mojang AB","Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy, Fantasy"
What Remains of Edith Finch,PlayStation 4,"April 25, 2017",88,"The game is a collection of short stories. Each of those stories focuses on the death of a different Finch family member and each is meant to look and feel different from the others, the way no two people in any family are alike. [Giant Sparrow]",8.3,T,Giant Sparrow,"General, Adventure, 3D, First-Person"
The Binding of Isaac: Rebirth,PlayStation 4,"November 4, 2014",88,"Rebirth is a randomly generated action RPG shooter with emphatic Roguelike elements. Following Isaac on his journey gamers discover bizarre treasures that change Isaac’s form giving him extra-human abilities and enabling him to fend off droves of mysterious creatures, learn secrets and scrap his way to safety.",7.8,M,Nicalis,"Horror, Action, Action Adventure, Shooter, Survival, Shoot-'Em-Up, Top-Down"
NieR: Automata,PlayStation 4,"March 7, 2017",88,"NieR Producer Yosuke Saito, director Taro Yoko and composer Keiichi Okabe return, teaming up with character designer Akihiko Yoshida and PlatinumGames to present the next entry in the saga – NieR: Automata.",8.9,M,PlatinumGames,"Role-Playing, Action RPG"
Rise of the Tomb Raider: 20 Year Celebration,PlayStation 4,"October 11, 2016",88,"Lara Croft embarks on her first Tomb Raiding expedition to the most treacherous and remote regions of Siberia. Rise of the Tomb Raider: 20 Year Celebration also includes the new “Blood Ties” single player content, VR support, new Co-op play for Endurance mode, and more. [Playstation.com]",8.1,M,"Crystal Dynamics, Nixxes Software","Action Adventure, Linear"
NBA 2K17,PlayStation 4,"September 16, 2016",88,NBA 2K17 promises to take the game to new heights and continue to blur the lines between video game and reality.,6.3,E,Visual Concepts,"Sports, Team, Basketball, Sim"
Dishonored 2,PlayStation 4,"November 10, 2016",88,"Dishonored 2 takes your protagonist, Corvo Attano or Emily Kaldwin, to the coastal city of Karnaca where the choices you make will have significant impact on the world.",7.9,M,Arkane Studios,"Action Adventure, General"
Injustice 2: Legendary Edition,PlayStation 4,"March 27, 2018",88,,7.5,,NetherRealm Studios,"Action, Fighting, 2D"
